CLIENTE,MODELO,NUM_PLAZAS,MECANISMO_MODULO,IMPORTE_LINEA,CATEGORIA,TIPO_TAPICERIA,COSTE_TAPIZADO_AGRUP,P_COSTE,MARGEN_UDS_LINEA,DTO_FAMILIA,I_COMISION,I_BRUTO,DTO_PP,DTO_LINEAS,MARGEN_BRUTO,PROVINCIA,COD_COMUNIDAD,HIPOTECA,INDENCIAS_CLIENTE,PIB_VALOR_EUROS,PARO_2020T3,status_cliente
7761,0,75,3,607.6,0,T,87.03,194.01,326.56,8.0,42.38,1143.8,211.89,84.35,847.56,30,14.0,0.2194,143.0,20766.0,15.06,6.629451665245737
7973,34,300,1,476.0,2,T,30.29,171.01,274.7,10.0,94.47,1349.6,0.0,0.0,1349.6,3,10.0,0.2444,130.0,19066.0,15.67,6.188323648577094
7973,34,200,1,873.6,2,T,60.58,158.04,496.94,10.0,94.47,1349.6,0.0,0.0,1349.6,3,10.0,0.2444,130.0,19066.0,15.67,6.188323648577094
8169,38,300,0,677.6,0,T,99.37,243.33,334.9,8.0,69.55,1542.8,28.39,123.43,1390.98,4,1.0,0.2673,15.0,20465.0,21.75,15.31902535346956
8169,38,200,3,460.6,0,T,99.37,170.44,190.79,8.0,69.55,1542.8,28.39,123.43,1390.98,4,1.0,0.2673,15.0,20465.0,21.75,15.31902535346956
8169,38,100,2,404.6,0,T,99.37,128.53,176.7,8.0,69.55,1542.8,28.39,123.43,1390.98,4,1.0,0.2673,15.0,20465.0,21.75,15.31902535346956
8284,33,100,1,491.4,0,T,53.58,138.86,298.96,5.0,45.28,1048.32,0.0,77.14,971.18,44,2.0,0.2578,13.0,24928.0,10.41,26.73038540604185
8312,5,100,1,658.0,6,P,153.6,163.5,340.9,4.0,59.86,2121.0,40.72,84.84,1995.44,28,13.0,0.3404,34.0,34041.0,11.89,15.728090275939993
8312,5,200,2,805.0,6,P,153.6,181.61,469.79,4.0,59.86,2121.0,40.72,84.84,1995.44,28,13.0,0.3404,34.0,34041.0,11.89,15.728090275939993
8328,15,200,0,675.48,2,T,22.77,206.05,446.66,5.0,59.8,1297.92,0.0,101.89,1196.03,26,17.0,0.2336,9.0,26528.0,9.96,35.59302595459366
