CLIENTE,MODELO,NUM_PLAZAS,MECANISMO_MODULO,IMPORTE_LINEA,CATEGORIA,TIPO_TAPICERIA,COSTE_TAPIZADO_AGRUP,P_COSTE,MARGEN_UDS_LINEA,DTO_FAMILIA,I_COMISION,I_BRUTO,DTO_PP,DTO_LINEAS,MARGEN_BRUTO,PROVINCIA,COD_COMUNIDAD,HIPOTECA,INDENCIAS_CLIENTE,PIB_VALOR_EUROS,PARO_2020T3,status_cliente
6464,15,100,1,478.86,0,T,53.19,165.83,259.85,8.0,84.23,1868.52,34.38,149.48,1684.66,46,10.0,0.2444,67.0,22882.0,15.67,9.443315295819264
6464,15,100,0,890.1,0,T,159.56,103.95,418.7,8.0,84.23,1868.52,34.38,149.48,1684.66,46,10.0,0.2444,67.0,22882.0,15.67,9.443315295819264
6464,15,200,4,499.56,0,T,53.19,168.97,277.41,8.0,84.23,1868.52,34.38,149.48,1684.66,46,10.0,0.2444,67.0,22882.0,15.67,9.443315295819264
6568,12,300,0,536.82,0,T,94.62,146.6,295.6,8.0,43.05,954.96,17.57,76.4,860.99,12,10.0,0.2444,0.2444,26351.0,15.67,167.78875465984098
6568,12,200,4,418.14,0,T,94.62,114.81,208.71,8.0,43.05,954.96,17.57,76.4,860.99,12,10.0,0.2444,0.2444,26351.0,15.67,167.78875465984098
7841,0,75,3,597.84,4,P,155.55,126.72,315.57,5.0,120.22,2590.17,0.0,126.55,2463.62,7,4.0,0.4149,49.0,27134.0,11.18,10.926127173392322
7841,0,100,1,458.25,4,P,155.55,107.99,194.71,5.0,120.22,2590.17,0.0,126.55,2463.62,7,4.0,0.4149,49.0,27134.0,11.18,10.926127173392322
7841,0,100,1,585.15,4,P,155.55,127.43,302.17,5.0,120.22,2590.17,0.0,126.55,2463.62,7,4.0,0.4149,49.0,27134.0,11.18,10.926127173392322
7841,0,300,0,889.71,4,P,155.55,137.03,597.13,5.0,120.22,2590.17,0.0,126.55,2463.62,7,4.0,0.4149,49.0,27134.0,11.18,10.926127173392322
7841,16,0,6,59.22,4,P,155.55,2.53,-98.86,5.0,120.22,2590.17,0.0,126.55,2463.62,7,4.0,0.4149,49.0,27134.0,11.18,10.926127173392322
7919,17,200,4,405.7,1,T,72.8,120.57,212.33,4.0,33.45,1115.0,0.0,0.0,1115.0,28,13.0,0.3404,10.0,34041.0,11.89,29.001165505468943
7919,17,350,5,709.3,1,T,72.8,321.42,315.08,4.0,33.45,1115.0,0.0,0.0,1115.0,28,13.0,0.3404,10.0,34041.0,11.89,29.001165505468943
7960,18,300,0,415.38,2,T,87.9,170.18,157.3,5.0,36.12,760.38,0.0,38.02,722.36,11,1.0,0.2673,91.0,17231.0,21.75,5.70696796903784
7960,18,200,4,345.0,2,T,87.9,139.87,117.23,5.0,36.12,760.38,0.0,38.02,722.36,11,1.0,0.2673,91.0,17231.0,21.75,5.70696796903784
8031,19,300,0,411.0,2,T,35.0,152.5,223.5,2.5,0.0,411.0,0.0,10.28,400.72,28,13.0,0.3404,18.0,34041.0,11.89,21.616192498983533
8031,7,200,4,319.0,0,T,52.16,110.7,156.15,2.5,0.0,806.0,0.0,20.16,785.84,28,13.0,0.3404,18.0,34041.0,11.89,21.616192498983533
8031,7,100,2,177.0,0,T,52.16,52.69,72.16,2.5,0.0,806.0,0.0,20.16,785.84,28,13.0,0.3404,18.0,34041.0,11.89,21.616192498983533
8031,7,100,1,310.0,0,T,52.16,97.86,159.99,2.5,0.0,806.0,0.0,20.16,785.84,28,13.0,0.3404,18.0,34041.0,11.89,21.616192498983533
8161,5,300,2,609.96,0,T,57.13,202.46,350.37,8.0,52.88,1173.0,21.58,93.84,1057.58,4,1.0,0.2673,52.0,20465.0,21.75,8.22763643355505
8161,5,200,2,563.04,0,T,57.13,183.05,322.86,8.0,52.88,1173.0,21.58,93.84,1057.58,4,1.0,0.2673,52.0,20465.0,21.75,8.22763643355505
8445,8,100,0,291.18,2,T,29.11,104.25,157.82,8.0,35.34,783.84,14.42,62.7,706.71,8,9.0,0.324,11.0,29885.0,11.4,27.12097864428026
8445,8,300,0,492.66,2,T,29.11,173.12,290.43,8.0,35.34,783.84,14.42,62.7,706.71,8,9.0,0.324,11.0,29885.0,11.4,27.12097864428026
8598,5,200,4,471.96,0,T,58.26,157.32,256.39,3.0,91.58,1308.24,0.0,0.0,1308.24,9,7.0,0.2449,24.0,27994.0,10.98,20.827219573569607
8598,5,100,1,375.36,0,T,58.26,128.8,188.31,3.0,91.58,1308.24,0.0,0.0,1308.24,9,7.0,0.2449,24.0,27994.0,10.98,20.827219573569607
8598,5,100,1,460.92,0,T,58.26,155.89,246.78,3.0,91.58,1308.24,0.0,0.0,1308.24,9,7.0,0.2449,24.0,27994.0,10.98,20.827219573569607
9124,20,200,4,408.48,2,T,49.93,140.83,217.72,5.0,44.25,931.5,0.0,46.57,884.93,48,16.0,0.261,3.0,30901.0,8.47,68.25959085733844
9124,20,100,0,231.84,2,T,49.93,76.75,105.16,5.0,44.25,931.5,0.0,46.57,884.93,48,16.0,0.261,3.0,30901.0,8.47,68.25959085733844
9319,3,200,2,663.37,2,T,76.71,223.59,363.07,5.0,85.3,1282.71,0.0,64.14,1218.57,31,15.0,0.2381,3.0,30508.0,8.55,70.67787547077565
9319,3,200,2,619.34,2,T,76.71,209.1,333.53,5.0,85.3,1282.71,0.0,64.14,1218.57,31,15.0,0.2381,3.0,30508.0,8.55,70.67787547077565
9319,16,0,6,0.0,2,T,306.86,3.73,-321.78,5.0,85.3,1282.71,0.0,64.14,1218.57,31,15.0,0.2381,3.0,30508.0,8.55,70.67787547077565
9319,16,0,6,0.0,2,T,306.86,4.74,-325.82,5.0,85.3,1282.71,0.0,64.14,1218.57,31,15.0,0.2381,3.0,30508.0,8.55,70.67787547077565
635,2,350,0,691.38,0,T,47.38,220.12,423.88,5.0,32.18,691.38,13.14,34.57,643.67,17,9.0,0.324,87.0,28674.0,11.4,9.446253222283634
815,11,200,4,423.66,0,T,69.81,126.27,227.58,5.0,79.38,1193.7,0.0,59.69,1134.01,26,17.0,0.2336,29.0,26528.0,9.96,19.82837697414856
815,11,100,1,335.34,0,T,69.81,71.57,193.96,5.0,79.38,1193.7,0.0,59.69,1134.01,26,17.0,0.2336,29.0,26528.0,9.96,19.82837697414856
